lon,lat,track_seg_point_id,ele,time
76.42197833,9.853465833,362,41.5,2024/04/26 10:58:58+00
76.421791,9.85351,363,42.1,2024/04/26 10:58:59+00
76.42159933,9.853546167,364,42.9,2024/04/26 10:59:00+00
76.42141533,9.853595667,365,43.8,2024/04/26 10:59:01+00
76.42123483,9.8536485,366,44.2,2024/04/26 10:59:02+00
76.42105283,9.853701167,367,44.9,2024/04/26 10:59:03+00
76.42087167,9.8537665,368,44.5,2024/04/26 10:59:04+00
76.42069817,9.853859167,369,44.4,2024/04/26 10:59:05+00
76.420517,9.853961667,370,44.3,2024/04/26 10:59:06+00
76.420317,9.854042333,371,45.2,2024/04/26 10:59:07+00
76.42012667,9.854144333,372,45.4,2024/04/26 10:59:08+00
76.419982,9.8542665,373,46.6,2024/04/26 10:59:09+00
76.41983317,9.8543895,374,46.6,2024/04/26 10:59:10+00
76.41970317,9.854529333,375,45.9,2024/04/26 10:59:11+00
76.41956667,9.854666167,376,45.2,2024/04/26 10:59:12+00
76.41943067,9.8548065,377,45.8,2024/04/26 10:59:13+00
76.419304,9.854924,378,45.7,2024/04/26 10:59:14+00
76.41917917,9.855072,379,45.6,2024/04/26 10:59:15+00
76.41905133,9.855227833,380,46.5,2024/04/26 10:59:16+00
76.41892133,9.855383833,381,46.7,2024/04/26 10:59:17+00
76.41881217,9.8555415,382,47,2024/04/26 10:59:18+00
76.41872467,9.855710333,383,45.5,2024/04/26 10:59:19+00
76.41864517,9.855880333,384,46.2,2024/04/26 10:59:20+00
76.41857483,9.8560545,385,44.3,2024/04/26 10:59:21+00
76.41851117,9.856235333,386,44.8,2024/04/26 10:59:22+00
76.41844383,9.856410833,387,42.3,2024/04/26 10:59:23+00
76.41838767,9.856599667,388,43.3,2024/04/26 10:59:24+00
76.41832817,9.85678,389,42.7,2024/04/26 10:59:25+00
76.41826567,9.8569605,390,41.6,2024/04/26 10:59:26+00
76.41820417,9.8571435,391,41.5,2024/04/26 10:59:27+00
76.4181435,9.857328667,392,41.6,2024/04/26 10:59:28+00
76.41808283,9.857511167,393,41.7,2024/04/26 10:59:29+00
76.41802183,9.857697167,394,42.1,2024/04/26 10:59:30+00
76.41796267,9.857884833,395,43.8,2024/04/26 10:59:31+00
76.4178945,9.8580725,396,44.9,2024/04/26 10:59:32+00
76.417823,9.858255667,397,45.4,2024/04/26 10:59:33+00
76.417745,9.858435333,398,45.5,2024/04/26 10:59:34+00
76.41766067,9.858614833,399,45.5,2024/04/26 10:59:35+00
76.41756967,9.858789833,400,45.4,2024/04/26 10:59:36+00
76.41747517,9.85896,401,45.4,2024/04/26 10:59:37+00
76.41737633,9.859130667,402,45.4,2024/04/26 10:59:38+00
76.41726517,9.859292833,403,45.4,2024/04/26 10:59:39+00
76.41714983,9.859452833,404,45.4,2024/04/26 10:59:40+00
76.41702917,9.859607,405,45.4,2024/04/26 10:59:41+00
76.416908,9.859758167,406,45.4,2024/04/26 10:59:42+00
76.41676967,9.859904,407,45.4,2024/04/26 10:59:43+00
76.41663817,9.860039833,408,45.5,2024/04/26 10:59:44+00
76.41649967,9.860176667,409,45.5,2024/04/26 10:59:45+00
76.416344,9.860302,410,45.5,2024/04/26 10:59:46+00
76.41618533,9.860425167,411,45.5,2024/04/26 10:59:47+00
76.41602933,9.860542667,412,45.5,2024/04/26 10:59:48+00
76.41586383,9.8606515,413,45.3,2024/04/26 10:59:49+00
